('10.7.11.235:53695', '10.0.136.7:53')
('10.240.1.162:5353', '224.0.0.251:5353')
('10.7.11.235:53679', '3.111.224.186:443')
('10.7.11.235:63255', '142.250.183.10:443')
('142.250.193.234:443', '10.240.0.249:64660')
('10.7.11.235:54190', '10.0.136.7:53')
('10.240.0.249:55950', '10.0.136.7:53')
('54.192.142.70:443', '10.240.0.249:55947')
('10.240.12.44:43495', '239.255.255.250:1900')
('10.7.11.235:51560', '142.250.192.195:443')
('10.240.14.3:62672', '10.240.31.255:22222')
('10.240.3.141:63311', '239.255.255.250:1900')
('10.7.11.235:52765', '216.58.203.2:443')
('10.240.1.152:138', '10.240.31.255:138')
('10.240.2.241:56247', '239.255.255.250:1900')
('10.240.0.249:58235', '10.240.8.31:8009')
('54.236.225.107:443', '10.7.11.235:53666')
('10.240.15.108:5353', '224.0.0.251:5353')
('10.240.0.91:138', '10.240.31.255:138')
('10.240.12.148:50779', '224.0.0.252:5355')
('10.240.15.224:54444', '10.240.31.255:3289')
('142.250.206.170:443', '10.240.0.249:64087')
('10.7.11.235:59746', '142.251.175.188:5228')
('10.240.0.249:58681', '52.113.195.132:443')
('10.240.12.254:5353', '224.0.0.251:5353')
('10.240.1.72:49664', '224.0.0.252:5355')
('10.240.14.3:62680', '255.255.255.255:3289')
('10.240.15.129:5353', '224.0.0.251:5353')
('10.240.3.218:48592', '239.255.255.250:1900')
('23.52.40.154:443', '10.240.0.249:59231')
('10.240.0.249:56809', '142.250.67.202:443')
('142.250.192.97:443', '10.7.11.235:53672')
('10.0.136.7:53', '10.7.11.235:64766')
('20.189.173.27:443', '10.7.11.235:53675')
('10.240.15.165:5353', '224.0.0.251:5353')
('10.240.0.249:58831', '142.251.12.188:5228')
('10.0.136.7:53', '10.7.11.235:52836')
('142.250.70.42:443', '10.7.11.235:53700')
('142.250.77.46:443', '10.7.11.235:63029')
('10.0.136.7:53', '10.240.0.249:53960')
('10.240.2.141:5353', '224.0.0.251:5353')
('10.240.12.201:5353', '224.0.0.251:5353')
('10.240.3.174:5353', '224.0.0.251:5353')
('10.7.11.235:53684', '3.111.224.186:443')
('146.75.46.49:443', '10.240.0.249:59284')
('10.0.136.7:53', '10.7.11.235:59303')
('10.240.14.233:5353', '224.0.0.251:5353')
('10.0.136.7:53', '10.7.11.235:53695')
('10.240.2.226:5353', '224.0.0.251:5353')
('10.240.0.249:56874', '142.250.70.106:443')
('10.240.4.205:5353', '224.0.0.251:5353')
('10.240.12.152:51908', '239.255.255.250:1900')
('10.7.11.235:53669', '10.240.8.31:8009')
('10.0.136.7:53', '10.7.11.235:64704')
('10.240.3.183:5353', '224.0.0.251:5353')
